POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
Batter,Aaron Judge,NYY,141,633,42,109,102,9,17.70%,24.70%,0.3,0.322,0.283,0.415,0.583,0.412,170,-1.7,50.3,-7.5,6.6,,,,,,,,,,,,,,,
Batter,Bobby Witt Jr.,KCR,140,634,28,99,89,31,7.40%,16.70%,0.226,0.315,0.293,0.351,0.519,0.368,135,3.3,29.6,13,6.6,,,,,,,,,,,,,,,
Batter,Gunnar Henderson,BAL,146,666,28,101,84,24,10.60%,20.20%,0.214,0.311,0.275,0.357,0.489,0.362,136,2.7,30.6,5.6,6.1,,,,,,,,,,,,,,,
Batter,Cal Raleigh,SEA,138,615,38,89,91,8,12.30%,26.60%,0.257,0.254,0.23,0.331,0.487,0.346,129,-1.9,19.2,7.4,5.9,,,,,,,,,,,,,,,
Batter,Julio Rodríguez,SEA,139,618,30,85,91,23,7.20%,21.70%,0.216,0.31,0.275,0.334,0.491,0.352,133,1.6,25.9,7.6,5.6,,,,,,,,,,,,,,,
Batter,Juan Soto,NYM,138,621,34,105,89,20,18.90%,17.80%,0.26,0.285,0.273,0.413,0.533,0.403,165,-0.6,47.1,-13.5,5.5,,,,,,,,,,,,,,,
Batter,Shohei Ohtani,LAD,142,658,44,120,99,22,13.90%,24.40%,0.302,0.308,0.275,0.38,0.578,0.398,158,1,46.5,-16.6,5.3,,,,,,,,,,,,,,,
Batter,Ronald Acuña Jr.,ATL,147,676,31,109,84,24,13.40%,20.00%,0.218,0.323,0.286,0.388,0.503,0.383,148,2.5,40.7,-11.5,5.3,,,,,,,,,,,,,,,
Batter,Fernando Tatis Jr.,SDP,136,619,30,96,82,23,10.90%,19.40%,0.228,0.3,0.275,0.36,0.503,0.369,142,1.9,32.6,-3.8,5.1,,,,,,,,,,,,,,,
Batter,Francisco Lindor,NYM,139,644,26,94,73,23,9.00%,18.40%,0.193,0.283,0.259,0.336,0.452,0.341,123,0.8,18.1,8.1,4.9,,,,,,,,,,,,,,,
