POS,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,W,L,SV,G.1,GS,IP,K/9,BB/9,HR/9,BABIP.1,LOB%,GB%,ERA,FIP,WAR.1,Draft_POS
Batter,Aaron Judge,NYY,141.0,633,42.0,109.0,102.0,9.0,17.70%,24.70%,0.3,0.322,0.283,0.415,0.583,0.412,170.0,-1.7,50.3,-7.5,6.6,,,,,,,,,,,,,,,,OF
Batter,Bobby Witt Jr.,KCR,140.0,634,28.0,99.0,89.0,31.0,7.40%,16.70%,0.226,0.315,0.293,0.351,0.519,0.368,135.0,3.3,29.6,13.0,6.6,,,,,,,,,,,,,,,,SS
Batter,Gunnar Henderson,BAL,146.0,666,28.0,101.0,84.0,24.0,10.60%,20.20%,0.214,0.311,0.275,0.357,0.489,0.362,136.0,2.7,30.6,5.6,6.1,,,,,,,,,,,,,,,,SS
Batter,Cal Raleigh,SEA,138.0,615,38.0,89.0,91.0,8.0,12.30%,26.60%,0.257,0.254,0.23,0.331,0.487,0.346,129.0,-1.9,19.2,7.4,5.9,,,,,,,,,,,,,,,,Util
Batter,Julio Rodríguez,SEA,139.0,618,30.0,85.0,91.0,23.0,7.20%,21.70%,0.216,0.31,0.275,0.334,0.491,0.352,133.0,1.6,25.9,7.6,5.6,,,,,,,,,,,,,,,,Util
Batter,Juan Soto,NYM,138.0,621,34.0,105.0,89.0,20.0,18.90%,17.80%,0.26,0.285,0.273,0.413,0.533,0.403,165.0,-0.6,47.1,-13.5,5.5,,,,,,,,,,,,,,,,OF
Batter,Shohei Ohtani,LAD,142.0,658,44.0,120.0,99.0,22.0,13.90%,24.40%,0.302,0.308,0.275,0.38,0.578,0.398,158.0,1.0,46.5,-16.6,5.3,,,,,,,,,,,,,,,,Util
Batter,Ronald Acuña Jr.,ATL,147.0,676,31.0,109.0,84.0,24.0,13.40%,20.00%,0.218,0.323,0.286,0.388,0.503,0.383,148.0,2.5,40.7,-11.5,5.3,,,,,,,,,,,,,,,,Util
Batter,Fernando Tatis Jr.,SDP,136.0,619,30.0,96.0,82.0,23.0,10.90%,19.40%,0.228,0.3,0.275,0.36,0.503,0.369,142.0,1.9,32.6,-3.8,5.1,,,,,,,,,,,,,,,,Util
Batter,Francisco Lindor,NYM,139.0,644,26.0,94.0,73.0,23.0,9.00%,18.40%,0.193,0.283,0.259,0.336,0.452,0.341,123.0,0.8,18.1,8.1,4.9,,,,,,,,,,,,,,,,SS
Batter,Vladimir Guerrero Jr.,TOR,143.0,637,32.0,94.0,99.0,5.0,11.60%,13.70%,0.234,0.301,0.297,0.383,0.531,0.387,152.0,-1.4,37.6,-13.4,4.7,,,,,,,,,,,,,,,,1B
Batter,Elly De La Cruz,CIN,140.0,617,23.0,83.0,82.0,38.0,10.20%,25.00%,0.202,0.323,0.263,0.342,0.465,0.345,117.0,4.2,16.5,8.2,4.6,,,,,,,,,,,,,,,,Util
Batter,Corbin Carroll,ARI,135.0,610,27.0,96.0,81.0,33.0,10.80%,20.70%,0.237,0.293,0.261,0.349,0.498,0.362,132.0,5.1,28.4,-4.1,4.6,,,,,,,,,,,,,,,,Util
Batter,Mookie Betts,LAD,132.0,591,22.0,84.0,79.0,8.0,10.80%,11.80%,0.194,0.278,0.274,0.355,0.468,0.355,129.0,-0.6,19.9,4.8,4.5,,,,,,,,,,,,,,,,Util
Batter,Yordan Alvarez,HOU,123.0,543,30.0,83.0,88.0,4.0,12.70%,17.00%,0.259,0.316,0.299,0.396,0.558,0.401,161.0,-1.6,37.7,-12.7,4.5,,,,,,,,,,,,,,,,OF
Batter,Ketel Marte,ARI,130.0,596,26.0,91.0,74.0,6.0,10.90%,16.40%,0.214,0.299,0.28,0.365,0.494,0.367,136.0,-0.5,25.0,-1.1,4.5,,,,,,,,,,,,,,,,Util
Batter,José Ramírez,CLE,136.0,604,27.0,83.0,88.0,30.0,9.60%,12.00%,0.216,0.274,0.275,0.349,0.492,0.351,128.0,1.9,21.8,0.4,4.4,,,,,,,,,,,,,,,,Util
Batter,William Contreras,MIL,132.0,586,20.0,74.0,74.0,6.0,11.80%,18.80%,0.175,0.307,0.27,0.359,0.445,0.349,125.0,-1.3,16.4,5.4,4.3,,,,,,,,,,,,,,,,Util
Batter,Junior Caminero,TBR,132.0,571,36.0,78.0,97.0,5.0,6.90%,19.40%,0.255,0.279,0.271,0.324,0.526,0.36,132.0,-0.6,20.9,0.8,4.2,,,,,,,,,,,,,,,,Util
Batter,Alejandro Kirk,TOR,107.0,446,14.0,54.0,56.0,1.0,10.30%,12.40%,0.159,0.286,0.274,0.353,0.433,0.342,121.0,-2.3,8.6,6.7,4.2,,,,,,,,,,,,,,,,Util
Batter,Pete Crow-Armstrong,CHC,134.0,587,24.0,79.0,73.0,33.0,5.60%,23.40%,0.199,0.293,0.252,0.302,0.451,0.323,108.0,3.3,9.1,11.9,4.1,,,,,,,,,,,,,,,,Util
Batter,Jackson Merrill,SDP,134.0,579,22.0,71.0,80.0,7.0,6.70%,19.30%,0.197,0.301,0.269,0.322,0.466,0.338,121.0,0.8,14.9,5.6,4.1,,,,,,,,,,,,,,,,Util
Batter,Corey Seager,TEX,116.0,515,25.0,72.0,75.0,3.0,10.80%,18.10%,0.223,0.295,0.276,0.359,0.499,0.363,136.0,-1.7,20.1,2.0,4.1,,,,,,,,,,,,,,,,SS
Batter,Trea Turner,PHI,132.0,609,18.0,86.0,65.0,26.0,6.50%,18.10%,0.161,0.32,0.28,0.332,0.442,0.335,113.0,3.9,13.6,4.9,4.0,,,,,,,,,,,,,,,,SS
Batter,Kyle Tucker,LAD,125.0,562,27.0,90.0,78.0,18.0,13.50%,15.20%,0.227,0.275,0.269,0.371,0.496,0.371,140.0,1.0,27.7,-8.0,3.9,,,,,,,,,,,,,,,,OF
Batter,Masyn Winn,STL,146.0,649,16.0,78.0,68.0,13.0,7.20%,17.10%,0.144,0.295,0.261,0.32,0.405,0.316,104.0,1.2,4.5,11.6,3.9,,,,,,,,,,,,,,,,Util
Batter,Geraldo Perdomo,ARI,128.0,557,12.0,71.0,61.0,18.0,12.10%,13.20%,0.141,0.295,0.27,0.364,0.412,0.342,119.0,0.7,13.2,5.8,3.8,,,,,,,,,,,,,,,,Util
Batter,Alex Bregman,CHC,143.0,635,23.0,80.0,81.0,3.0,10.50%,14.00%,0.179,0.27,0.26,0.345,0.439,0.341,121.0,-1.7,13.9,1.8,3.8,,,,,,,,,,,,,,,,Util
Batter,Nick Kurtz,ATH,132.0,600,38.0,95.0,87.0,5.0,12.20%,28.50%,0.275,0.306,0.258,0.353,0.534,0.376,140.0,-0.4,28.2,-12.1,3.8,,,,,,,,,,,,,,,,Util
Batter,Zach Neto,LAA,133.0,599,26.0,83.0,69.0,27.0,6.90%,23.90%,0.203,0.295,0.252,0.32,0.456,0.333,113.0,1.8,10.7,4.9,3.7,,,,,,,,,,,,,,,,Util
Batter,Maikel Garcia,KCR,138.0,620,13.0,82.0,62.0,26.0,8.50%,14.60%,0.142,0.307,0.276,0.339,0.418,0.33,109.0,2.1,8.7,5.6,3.6,,,,,,,,,,,,,,,,Util
Batter,Adley Rutschman,BAL,125.0,545,17.0,68.0,67.0,1.0,11.40%,15.60%,0.166,0.277,0.255,0.343,0.421,0.334,116.0,-1.3,8.8,5.3,3.6,,,,,,,,,,,,,,,,C
Batter,Bryce Harper,PHI,135.0,598,27.0,83.0,87.0,9.0,12.50%,21.40%,0.222,0.312,0.273,0.368,0.495,0.368,136.0,-0.2,25.4,-10.7,3.5,,,,,,,,,,,,,,,,Util
Batter,Jeremy Peña,HOU,133.0,599,18.0,79.0,64.0,16.0,5.90%,17.60%,0.158,0.307,0.273,0.326,0.43,0.328,111.0,1.2,8.8,5.0,3.5,,,,,,,,,,,,,,,,Util
Batter,Wyatt Langford,TEX,126.0,559,22.0,78.0,69.0,19.0,12.00%,22.60%,0.198,0.3,0.256,0.351,0.455,0.348,126.0,1.2,18.2,-3.2,3.5,,,,,,,,,,,,,,,,Util
Batter,Nico Hoerner,CHC,143.0,602,8.0,67.0,61.0,24.0,6.50%,9.60%,0.107,0.304,0.285,0.339,0.392,0.321,107.0,2.2,7.3,6.5,3.5,,,,,,,,,,,,,,,,Util
Batter,Gabriel Moreno,ARI,96.0,400,10.0,47.0,48.0,4.0,9.70%,17.00%,0.147,0.319,0.28,0.353,0.427,0.34,117.0,-0.1,8.0,9.1,3.4,,,,,,,,,,,,,,,,Util
Batter,Bo Bichette,NYM,113.0,503,15.0,63.0,64.0,5.0,6.50%,16.30%,0.161,0.32,0.288,0.337,0.449,0.339,121.0,-0.2,12.6,3.6,3.4,,,,,,,,,,,,,,,,Util
Batter,Manny Machado,SDP,136.0,591,26.0,75.0,86.0,9.0,8.10%,19.50%,0.197,0.295,0.268,0.329,0.465,0.34,122.0,-0.8,14.9,-2.1,3.3,,,,,,,,,,,,,,,,Util
